timestamp,solar_power_kw,load_total_kw
2026-01-11 17:00:00,10.38,11.18
2026-01-11 18:00:00,4.52,8.82
2026-01-11 19:00:00,4.47,7.3
2026-01-11 20:00:00,1.5,5.73
2026-01-11 21:00:00,1.71,9.5
2026-01-11 22:00:00,0.11,4.18
2026-01-11 23:00:00,0.04,17.06
2026-01-12 00:00:00,0.9,9.05
2026-01-12 01:00:00,1.19,12.35
2026-01-12 02:00:00,0.0,6.31
2026-01-12 03:00:00,0.0,5.86
2026-01-12 04:00:00,1.28,5.54
2026-01-12 05:00:00,1.99,7.29
2026-01-12 06:00:00,0.23,10.28
2026-01-12 07:00:00,0.58,8.48
2026-01-12 08:00:00,0.69,10.42
2026-01-12 09:00:00,0.72,6.92
2026-01-12 10:00:00,0.0,6.58
2026-01-12 11:00:00,1.64,9.97
2026-01-12 12:00:00,5.85,9.49
2026-01-12 13:00:00,9.15,11.27
2026-01-12 14:00:00,11.92,7.4
2026-01-12 15:00:00,10.49,6.54
2026-01-12 16:00:00,11.85,4.41
2026-01-12 17:00:00,9.74,8.98
2026-01-12 18:00:00,8.49,11.5
2026-01-12 19:00:00,5.6,11.92
2026-01-12 20:00:00,1.89,11.11
2026-01-12 21:00:00,0.12,7.78
2026-01-12 22:00:00,0.89,5.06
2026-01-12 23:00:00,0.0,6.83
2026-01-13 00:00:00,1.46,7.1
2026-01-13 01:00:00,1.92,8.13
2026-01-13 02:00:00,0.64,4.19
2026-01-13 03:00:00,0.0,11.25
2026-01-13 04:00:00,0.99,8.13
2026-01-13 05:00:00,0.0,6.02
2026-01-13 06:00:00,0.42,8.02
2026-01-13 07:00:00,0.07,7.32
2026-01-13 08:00:00,0.63,9.76
2026-01-13 09:00:00,0.77,11.04
2026-01-13 10:00:00,0.0,3.57
2026-01-13 11:00:00,1.2,7.59
2026-01-13 12:00:00,6.17,13.98
2026-01-13 13:00:00,7.86,8.88
2026-01-13 14:00:00,10.48,11.51
2026-01-13 15:00:00,12.32,6.51
2026-01-13 16:00:00,14.0,10.11
2026-01-13 17:00:00,10.02,10.64
2026-01-13 18:00:00,10.04,12.81
2026-01-13 19:00:00,6.81,10.63
2026-01-13 20:00:00,2.38,4.59
2026-01-13 21:00:00,2.7,10.47
2026-01-13 22:00:00,0.0,11.05
2026-01-13 23:00:00,2.41,13.93
2026-01-14 00:00:00,1.55,10.79
2026-01-14 01:00:00,0.0,10.61
2026-01-14 02:00:00,0.0,12.56
2026-01-14 03:00:00,1.49,11.95
2026-01-14 04:00:00,1.78,14.19
2026-01-14 05:00:00,0.0,4.43
2026-01-14 06:00:00,0.64,11.73
2026-01-14 07:00:00,0.0,6.72
2026-01-14 08:00:00,0.0,11.73
2026-01-14 09:00:00,0.3,10.21
2026-01-14 10:00:00,1.24,10.34
2026-01-14 11:00:00,2.94,3.77
2026-01-14 12:00:00,5.75,13.68
2026-01-14 13:00:00,6.19,9.02
2026-01-14 14:00:00,10.04,5.97
2026-01-14 15:00:00,11.74,9.55
2026-01-14 16:00:00,10.68,9.64
2026-01-14 17:00:00,11.84,9.24
2026-01-14 18:00:00,7.45,8.77
2026-01-14 19:00:00,6.65,6.31
2026-01-14 20:00:00,2.98,7.36
2026-01-14 21:00:00,0.0,6.89
2026-01-14 22:00:00,0.0,13.8
2026-01-14 23:00:00,1.35,7.13
2026-01-15 00:00:00,2.1,9.21
2026-01-15 01:00:00,0.27,7.07
2026-01-15 02:00:00,0.0,12.95
2026-01-15 03:00:00,0.69,10.84
2026-01-15 04:00:00,0.0,9.68
2026-01-15 05:00:00,0.0,6.95
2026-01-15 06:00:00,0.0,11.7
2026-01-15 07:00:00,0.0,11.21
2026-01-15 08:00:00,0.0,9.18
2026-01-15 09:00:00,0.81,7.41
2026-01-15 10:00:00,0.0,11.4
2026-01-15 11:00:00,4.04,15.24
2026-01-15 12:00:00,4.94,8.25
2026-01-15 13:00:00,7.4,4.91
2026-01-15 14:00:00,12.67,11.3
2026-01-15 15:00:00,10.8,5.42
2026-01-15 16:00:00,12.28,11.35
2026-01-15 17:00:00,9.58,7.48
2026-01-15 18:00:00,8.35,6.15
2026-01-15 19:00:00,5.84,8.29
2026-01-15 20:00:00,3.52,9.99
2026-01-15 21:00:00,0.0,5.86
2026-01-15 22:00:00,0.0,3.88
2026-01-15 23:00:00,0.0,5.16
